Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-04-07,The Usual Suspects,1995,https://boxd.it/6e3Jvj,4,,,2024-04-07
2024-04-16,The Broken Circle Breakdown,2012,https://boxd.it/6hW5zR,4,,,2024-04-16
2024-04-19,Manhattan,1979,https://boxd.it/6iWrtb,3,,,2024-04-19
2024-04-23,The Zone of Interest,2023,https://boxd.it/6krYwX,3.5,,,2024-04-22
2024-04-25,Baby Reindeer,2024,https://boxd.it/6laMJl,3.5,,,2024-04-24
2024-04-26,Sing Street,2016,https://boxd.it/6lxVDx,3.5,,,2024-04-26
2024-04-28,A Man and a Woman,1966,https://boxd.it/6mohY7,4,,,2024-04-28
2024-05-12,A Summer's Tale,1996,https://boxd.it/6s9eax,3,,,2024-05-11
2024-06-05,Everything's Gonna Be Great,1998,https://boxd.it/6CkE69,4,,,2024-06-05
2024-06-17,Sharp Objects,2018,https://boxd.it/6GGCJ9,3.5,,,2024-06-16
2024-07-06,All of Us Strangers,2023,https://boxd.it/6OnLvf,3.5,,,2024-07-05
2024-07-06,Victoria,2015,https://boxd.it/6OtocL,3.5,,,2024-07-06
2024-07-27,The Killing of a Sacred Deer,2017,https://boxd.it/6XUOJh,3.5,,,2024-07-26
2024-08-05,Demolition,2015,https://boxd.it/71Whgr,3.5,,,2024-08-04
2024-08-05,Batman Begins,2005,https://boxd.it/71Wi8N,3.5,,,2024-08-04
2024-08-09,Inside Out 2,2024,https://boxd.it/73GWZt,4,,,2024-08-09
2024-08-22,Killers of the Flower Moon,2023,https://boxd.it/79rQ17,4,,,2024-08-21
2024-08-24,Still Alice,2014,https://boxd.it/7ax95B,3.5,,,2024-08-23
2024-09-02,Children of Men,2006,https://boxd.it/7eQ9Tb,3.5,,,2024-09-01
2024-09-11,Memory,2023,https://boxd.it/7iZK1z,3,,,2024-09-11
2024-09-11,The Color Purple,1985,https://boxd.it/7iZKtN,3.5,,,2024-09-11
2024-09-27,Seagrass,2023,https://boxd.it/7pLd8d,4,,,2024-09-27
2024-10-26,Inside,2012,https://boxd.it/7DVBgV,3,,,2024-10-25
2024-11-04,Like a Son,2023,https://boxd.it/7IO6EN,3.5,,,2024-11-03
2024-11-04,Don't Worry Darling,2022,https://boxd.it/7IOiVB,3,,,2024-11-03
2024-11-04,Am I OK?,2022,https://boxd.it/7IOpct,3,,,2024-11-03
2024-11-11,The Hours,2002,https://boxd.it/7MrOJH,3.5,,,2024-11-10
2024-11-17,A Nos Amours,1983,https://boxd.it/7Pog3D,1,,,2024-11-16
2024-11-17,Kramer vs. Kramer,1979,https://boxd.it/7Puc03,4,,,2024-11-17
2024-11-20,Godard Mon Amour,2017,https://boxd.it/7QXSsF,3.5,,,2024-11-19
2024-12-02,Mona Lisa Smile,2003,https://boxd.it/7WSuVR,4,,,2024-12-01
2024-12-07,The Lost Daughter,2021,https://boxd.it/7ZhJDB,4,,,2024-12-07
2024-12-23,Kung Fu Panda 4,2024,https://boxd.it/87VY2x,3.5,,,2024-12-22
2024-12-25,Don't Let Them Shoot the Kite,1989,https://boxd.it/89qS5B,3.5,,,2024-12-24
2025-01-14,Training Day,2001,https://boxd.it/8t0X2b,3.5,,,2025-01-13
2025-01-19,The Substance,2024,https://boxd.it/8wIbZz,4,,,2025-01-18
2025-02-02,The Perks of Being a Wallflower,2012,https://boxd.it/8HOKPb,1.5,,,2025-02-02
2025-02-10,Lost in Translation,2003,https://boxd.it/8MYp3l,3.5,,,2025-02-10
2025-02-21,Chasing the Wind,2025,https://boxd.it/8TRIQZ,0.5,,,2025-02-20
2025-03-03,Cléo from 5 to 7,1962,https://boxd.it/906S0N,3.5,,,2025-03-02
2025-03-09,Hesitation Wound,2023,https://boxd.it/93Wokz,3.5,,,2025-03-08
2025-04-06,Adolescence,2025,https://boxd.it/9kwaJB,4.5,,,2025-04-05
2025-04-07,Anora,2024,https://boxd.it/9kUMML,3,,,2025-04-06
2025-04-07,The Friend,2024,https://boxd.it/9ln4E7,3,,,2025-04-06
2025-04-13,The Ballad of Wallis Island,2025,https://boxd.it/9opilf,4,,,2025-04-12
2025-04-17,I'm Not a Robot,2023,https://boxd.it/9qJxBb,4,,,2025-04-16
2025-04-17,I'm Still Here,2024,https://boxd.it/9qOTU5,4.5,,,2025-04-17
2025-04-22,Moonlight,2016,https://boxd.it/9tUXp5,3.5,,,2025-04-21
2025-04-22,My Life as a Zucchini,2016,https://boxd.it/9ugHof,5,,,2025-04-22
2025-04-25,Manchester by the Sea,2016,https://boxd.it/9vT5eN,4,,,2025-04-25
2025-04-26,My Neighbor Totoro,1988,https://boxd.it/9wrosH,3.5,,,2025-04-26
2025-04-29,The Brutalist,2024,https://boxd.it/9ye8gH,3.5,,,2025-04-29
2025-04-30,Fallen Leaves,2023,https://boxd.it/9yBIeD,3,,,2025-04-29
2025-05-02,Istanbul Encyclopedia,2025,https://boxd.it/9zDhwX,3.5,,,2025-05-01
2025-05-04,Tokyo Story,1953,https://boxd.it/9ATZPZ,4,,,2025-05-03
2025-05-06,Decision to Leave,2022,https://boxd.it/9Cll45,4,,,2025-05-05
2025-05-09,The Room Next Door,2024,https://boxd.it/9DTyvv,3.5,,,2025-05-09
2025-05-10,Conclave,2024,https://boxd.it/9EqvQ7,4,,,2025-05-10
2025-05-28,La Haine,1995,https://boxd.it/9P7KeX,4.5,,,2025-05-27
2025-05-29,In the Mood for Love,2000,https://boxd.it/9Q79NF,4,,,2025-05-29
2025-05-30,The Young Girls of Rochefort,1967,https://boxd.it/9QfJAt,3.5,,,2025-05-29
