Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
142395,Samarkand,Amin Maalouf,"Maalouf, Amin",Russell Harris,"=""1566562937""","=""9781566562935""",3,Interlink Books,Paperback,304,2003,1988,,2024/10/10,,,read,,,,1,0
40495148,Blindness,José Saramago,"Saramago, José",Giovanni Pontiero,"=""""","=""""",3,Mariner Books,Kindle Edition,349,2013,1995,,2024/10/10,,,read,,,,1,0
43980,A History of the World in 10½  Chapters,Julian Barnes,"Barnes, Julian",,"=""0679731377""","=""9780679731375""",4,Vintage,Paperback,320,1990,1989,,2024/10/10,,,read,,,,1,0
6192,Disgrace,J.M. Coetzee,"Coetzee, J.M.",,"=""0143036378""","=""9780143036371""",4,Penguin Books,Paperback,220,2005,1999,,2024/10/10,,,read,,,,0,0
3140,"The Bridge on the Drina (Bosnian Trilogy, #1)",Ivo Andrić,"Andrić, Ivo","Lovett F. Edwards, William H. McNeill","=""0226020452""","=""9780226020457""",4,University of Chicago Press,Paperback,314,1977,1945,,2024/10/10,,,read,,,,0,0
12700500,Kambur,Şule Gürbüz,"Gürbüz, Şule",,"=""9754703132""","=""9789754703139""",3,İletişim Yayınevi,Paperback,92,1992,1992,,2024/10/10,,,read,,,,0,0
10283487,Kişisel Bir Sorun,Kenzaburō Ōe,"Ōe, Kenzaburō",Hüseyin Can Erkin,"=""9750712110""","=""9789750712111""",3,Can Yayınları,Paperback,232,2010,1964,,2024/10/10,,,read,,,,0,0
16075140,Biletiniz Buraya Kadar,Romain Gary,"Gary, Romain",Aykut Derman,"=""6051031634""","=""9786051031637""",3,Agora Kitaplığı,Paperback,240,2012,1975,,2024/10/10,,,read,,,,0,0
25129846,Unutma Dersleri,Nermin Yıldırım,"Yıldırım, Nermin",,"=""6050925364""","=""9786050925364""",2,Doğan Kitap,Paperback,312,2015,2015,,2024/10/10,,,read,,,,0,0
20321558,Unutma Beni Apartmanı,Nermin Yıldırım,"Yıldırım, Nermin",,"=""6050900124""","=""9786050900125""",2,Doğan Kitap,Paperback,420,2011,2011,,2024/10/10,,,read,,,,0,0
203937619,Söyleme Bilmesinler,Şermin Yaşar,"Yaşar, Şermin",,"=""6256570596""","=""9786256570597""",2,Doğan Kitap,Paperback,200,2023,,,2024/10/10,,,read,,,,0,0
11413921,Fareler ve İnsanlar,John Steinbeck,"Steinbeck, John",Leylâ Özcengiz,"=""9751409071""","=""9789751412386""",5,Remzi Kitabevi,Paperback,95,2003,1937,,2024/10/10,,,read,,,,0,0
59240103,Kumdan Yürek,Abdulrazak Gurnah,"Gurnah, Abdulrazak",Mehmet Deniz Öcal,"=""9750531663""","=""9789750531668""",4,İletişim Yayınları,Paperback,292,2021,2017,,2024/10/10,,,read,,,,0,0
43883316,Kendiyle Dost Olmak Hayatı Nasıl Kolaylaştırır?,Wilhelm Schmid,"Schmid, Wilhelm",Tanıl Bora,"=""9750526376""","=""9789750526374""",3,İletişim Yayınları,Paperback,79,2019,2018,,2024/10/10,,,read,,,,0,0
24502169,Sakin Olmak: Yaşlanırken Kazandıklarımız,Wilhelm Schmid,"Schmid, Wilhelm",Tanıl Bora,"=""9750516907""","=""9789750516900""",3,İletişim Yayınları,Paperback,100,2015,2011,,2024/10/10,,,read,,,,0,0
220826,Kürk Mantolu Madonna,Sabahattin Ali,"Ali, Sabahattin",,"=""9753638027""","=""9789753638027""",3,Yapı Kredi Yayınları,Paperback,160,1998,1943,,2024/10/10,,,read,,,,0,0
6850768,Huzur,Ahmet Hamdi Tanpınar,"Tanpınar, Ahmet Hamdi",,"=""""","=""9789759952471""",4,Dergâh Yayınları,Paperback,424,2014,1949,,2024/10/10,,,read,,,,1,0
58182,Romain Gary,Dominique Bona,"Bona, Dominique",,"=""2070417611""","=""9782070417612""",0,Folio,Mass Market Paperback,464,2001,1987,2024/10/10,2024/02/20,,,read,,,,1,0
31819243,Aşk Dersleri,Alain de Botton,"Botton, Alain de",Özge Çelik,"=""9755708146""","=""9789755708140""",4,Sel Yayıncılık,Paperback,240,2016,2016,,2024/03/03,,,read,,,,1,0
