Date,Name,Year,Letterboxd URI,Rating
2021-12-12,How to Become a Tyrant,2021,https://boxd.it/wvV6,3.5
2021-12-16,"Ana, My Love",2017,https://boxd.it/fesM,3.5
2021-12-18,When Harry Met Sally...,1989,https://boxd.it/29W2,4
2021-12-23,Remember us,2018,https://boxd.it/jINI,4.5
2022-01-01,Cem Yılmaz: Diamond Elite Platinum Plus,2021,https://boxd.it/yvJo,4
2022-01-03,A Broken Love Story,1982,https://boxd.it/8H0e,3.5
2022-01-15,Don't Look Up,2021,https://boxd.it/o0Hc,4
2022-01-20,The Social Network,2010,https://boxd.it/17ue,3.5
2022-01-21,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2022-02-24,The Worst Person in the World,2021,https://boxd.it/oyws,4
2022-03-01,Brothers,2009,https://boxd.it/20WW,3.5
2022-03-11,Mulholland Drive,2001,https://boxd.it/297o,0.5
2022-03-24,House of Sand and Fog,2003,https://boxd.it/1UEM,4
2022-03-26,Notting Hill,1999,https://boxd.it/2aeK,4
2022-04-02,The Royal Tenenbaums,2001,https://boxd.it/1YHU,4.5
2022-04-02,The Batman,2022,https://boxd.it/eDGs,3
2022-04-17,CODA,2021,https://boxd.it/tbf4,3
2022-04-23,The Bridges of Madison County,1995,https://boxd.it/29Os,4
2022-05-29,The Past,2013,https://boxd.it/4Ovg,3.5
2022-06-07,Godspeed,2022,https://boxd.it/AHcU,3.5
2022-07-05,Meet Joe Black,1998,https://boxd.it/2aEI,4.5
2022-08-08,Happening,2021,https://boxd.it/tRts,4
2022-08-08,Unfaithful,2002,https://boxd.it/275A,4.5
2022-08-08,Carol,2015,https://boxd.it/7DPK,2.5
2022-08-09,The Aviator's Wife,1981,https://boxd.it/1srq,4
2022-08-10,The Shape of Water,2017,https://boxd.it/dZ5m,3.5
2022-08-10,I Want You Back,2022,https://boxd.it/poyU,3.5
2022-08-11,Submarine,2010,https://boxd.it/H4a,4.5
2022-08-12,The Lobster,2015,https://boxd.it/7tnw,3.5
2022-08-12,The Green Ray,1986,https://boxd.it/t8W,3.5
2022-08-13,Boyfriends and Girlfriends,1987,https://boxd.it/14C,3.5
2022-08-13,La Collectionneuse,1967,https://boxd.it/23Ls,3.5
2022-08-14,Drive My Car,2021,https://boxd.it/sv94,3.5
2022-08-14,45 Years,2015,https://boxd.it/9ZPG,4.5
2022-08-14,Blue Valentine,2010,https://boxd.it/MxG,3.5
2022-08-14,Love Tactics,2022,https://boxd.it/yY0C,1
2022-08-18,Heartsong,2022,https://boxd.it/BRzm,3
2022-09-03,The Time Traveler's Wife,2009,https://boxd.it/1xH4,3
2022-09-14,Bridget Jones's Diary,2001,https://boxd.it/29WQ,3
2022-09-21,The Festival of Troubadours,2022,https://boxd.it/xaKo,1
2022-09-22,Short Term 12,2013,https://boxd.it/5f6s,4
2022-10-05,Torment,1994,https://boxd.it/1HMS,4
2022-10-09,Nocturnal Animals,2016,https://boxd.it/bkFu,4.5
2022-10-30,Aftersun,2022,https://boxd.it/Arw0,4
2022-10-30,Undine,2020,https://boxd.it/mM3K,3.5
2022-10-31,Cici,2022,https://boxd.it/CPZu,3.5
2022-11-12,Triangle of Sadness,2022,https://boxd.it/hXlq,4
2022-11-15,Love & Other Drugs,2010,https://boxd.it/UIi,3
2022-11-15,Don't Leave,2022,https://boxd.it/DmyQ,2.5
2022-11-19,Force Majeure,2014,https://boxd.it/7UcA,3.5
2022-11-20,Perfume: The Story of a Murderer,2006,https://boxd.it/28LW,3
2022-11-22,The Square,2017,https://boxd.it/e5YW,3
2022-11-24,Steve Jobs,2015,https://boxd.it/araG,2.5
2022-11-28,Ordinary People,1980,https://boxd.it/1JTm,4
2022-11-30,Dear Diary,1993,https://boxd.it/1vT8,0.5
2022-12-01,Come and See,1985,https://boxd.it/1w9q,5
2022-12-03,Saraband,2003,https://boxd.it/rkw,3
2022-12-06,The Prestige,2006,https://boxd.it/293w,4.5
2022-12-14,Petite Maman,2021,https://boxd.it/s6je,3
2022-12-28,French Kiss,1995,https://boxd.it/2atA,3.5
2023-01-01,Mare of Easttown,2021,https://boxd.it/u2h8,4
2023-01-03,Truly Madly Deeply,1990,https://boxd.it/1HaY,4.5
2023-01-07,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4
2023-01-09,The Man from Earth,2007,https://boxd.it/1Ql2,3.5
2023-01-09,The Queen's Gambit,2020,https://boxd.it/s1Ym,3
2023-01-09,Ethos,2020,https://boxd.it/sJVQ,4
2023-01-09,Muslum,2018,https://boxd.it/jcPW,2
2023-01-09,Whisper If I Forget,2014,https://boxd.it/9y5c,3
2023-01-09,A Long Story,2012,https://boxd.it/4t8q,4
2023-01-09,The Hunger Games,2012,https://boxd.it/2uds,3
2023-01-09,Seven Pounds,2008,https://boxd.it/1U8w,3
2023-01-09,"Don't Worry, I'm Fine",2006,https://boxd.it/2908,5
2023-01-09,Family Honour,1976,https://boxd.it/4WiO,4
2023-01-21,Forgotten,2017,https://boxd.it/hAJE,3
2023-01-22,Gad Elmaleh: American Dream,2018,https://boxd.it/ijT0,4
2023-02-05,The Menu,2022,https://boxd.it/lScm,4
2023-02-14,Saving Private Ryan,1998,https://boxd.it/29ro,4
2023-02-19,Babylon,2022,https://boxd.it/mM02,4
2023-02-25,Jurassic Park,1993,https://boxd.it/2aA2,3
2023-02-26,TÁR,2022,https://boxd.it/uNIA,3.5
2023-02-27,11.22.63,2016,https://boxd.it/bFV4,3.5
2023-03-01,Last Tango in Paris,1972,https://boxd.it/28pw,1
2023-03-01,The Dreamers,2003,https://boxd.it/28X4,2
2023-03-03,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,4
2023-03-14,The Fabelmans,2022,https://boxd.it/ugoM,4.5
2023-03-18,A Man Called Otto,2022,https://boxd.it/zl06,3.5
2023-03-19,The Whale,2022,https://boxd.it/tw4c,3.5
2023-04-01,The Florida Project,2017,https://boxd.it/dMG0,3
2023-04-01,The Night Of,2016,https://boxd.it/eC1I,4
2023-04-03,Taste of Cherry,1997,https://boxd.it/1m8W,4
2023-04-09,Close,2022,https://boxd.it/y4qa,4.5
2023-04-27,The Dust of Time,2008,https://boxd.it/AFI,3
2023-04-29,Summer 1993,2017,https://boxd.it/fAfK,4
2023-05-16,Burning Days,2022,https://boxd.it/psok,4
2023-05-24,The Pope's Exorcist,2023,https://boxd.it/stZ8,2.5
2023-06-02,Blue Jasmine,2013,https://boxd.it/50MI,3.5
2023-06-03,The Talented Mr. Ripley,1999,https://boxd.it/2924,4
